Golfer,D,G,P,S,Avg
Tom Gillis ,290.1,66.4,-0.4,55.9,71.1
Alex Prugh ,298.6,66,-0.6,47.9,71.9
John Senden ,293.3,70.9,0.2,54.8,70.2
Ryuji Imada ,283.4,64.3,-0.1,58.8,71.1
Bobby Gates ,297.4,64.7,-0.4,51.5,71.6
Arjun Atwal ,284.8,63.3,0,55.7,71.4
Bio Kim ,296.1,59.5,0.1,54.9,71.7
Zach Johnson ,278.2,66.4,0.6,64,70
Aaron Baddeley ,296.2,65.5,0.4,59.4,70.2
Nick O'Hern ,276.3,66.7,0,59.2,70.8
Hunter Mahan ,291.6,68.8,0.6,58,69.9
Jimmy Walker ,298.8,63.9,0.2,59.5,70.4
Chris DiMarco ,277.9,65.1,-0.2,60.5,70.9
Graeme McDowell ,289.5,66.1,0.1,54,71
Carl Pettersson ,291.8,65.8,0.5,58.5,70.3
David Toms ,279.1,70.2,0.5,61.2,69.7
Chad Campbell ,291.1,71.1,-0.5,57.5,70.3
Vijay Singh ,294.3,66.5,-0.1,57.2,70.6
Shane Bertsch ,280.1,64.4,0.1,59.3,70.9
Ian Poulter ,282.8,65.6,0.3,56.3,70.8
Brendan Steele ,292.8,65.5,-0.1,54.5,71
D.A. Points ,287.4,64.9,0.2,58.4,70.6
Phil Mickelson ,299.8,67,-0.1,62,69.9
Stuart Appleby ,287.5,61.6,-0.2,55.9,71.6
Sunghoon Kang ,294.2,64.8,-0.1,56.7,70.9
Brian Davis ,283.3,67.4,0,59,70.5
Stewart Cink ,291.8,64.3,0.2,57.1,70.7
Kent Jones ,285,66.1,0,54.5,71
Paul Goydos ,274.8,64.5,-0.6,55.8,71.7
Justin Hicks ,286,65.7,-0.9,50.5,72
D.J. Brigman ,290.2,60.9,-0.2,53.5,71.8
Steve Stricker ,288.8,66,0.8,64.9,69.4
George McNeill ,295,64.2,0,56.2,70.8
Chris Kirk ,295.7,66.7,-0.2,57.7,70.4
Bo Van Pelt ,297.4,68,-0.2,58.7,70.1
Jeff Overton ,295.3,64.5,0.1,54.7,70.8
Davis Love III ,298.5,68.3,-0.3,54,70.6
Webb Simpson ,296.2,69.8,0.2,62.2,69.3
Anthony Kim ,294.2,61.6,0.2,58.5,70.8
Jerry Kelly ,275.6,66.3,0.2,62.6,70.2
Ryan Moore ,290.1,62.9,0.5,60.1,70.3
Aron Price ,282.6,67.1,0.1,55.2,70.7
Robert Allenby ,290.2,67.5,-0.2,58.8,70.3
Kevin Na ,279.8,61,0.6,63.5,70.4
Angel Cabrera ,301.6,63.9,0.5,52.2,70.7
Alex Cejka ,280.3,66.1,-0.7,56.9,71.2
Andres Romero ,294.7,63.4,0.5,56.5,70.5
Ernie Els ,288.1,69.9,-0.7,51.1,71.1
Dustin Johnson ,314.2,68.4,-0.5,51.2,70.5
Adam Scott ,299.7,68.1,-0.2,59,69.9
Robert Karlsson ,299.2,63.4,0.1,60.4,70.2
Michael Bradley ,290.7,67.6,-0.2,51.7,70.9
Keegan Bradley ,300.7,65.9,0,56.2,70.3
Brandt Snedeker ,287.2,64.9,0.6,61.5,69.9
Camilo Villegas ,294.4,62.5,-0.2,56,71
Y.E. Yang ,290.2,62.5,0.3,61.3,70.3
Matt Kuchar ,286.2,67,0.4,62.9,69.5
Rory Sabbatini ,292.5,65.8,-0.4,58.2,70.5
Jason Dufner ,286.8,67,-0.1,58.6,70.2
Jim Furyk ,281.4,67.6,-0.2,58.4,70.4
Ricky Barnes ,293.3,66.5,-0.5,56.6,70.6
Kyle Stanley ,304.6,68.2,-0.5,54.2,70.3
Brian Gay ,269.8,63.4,0.5,63.8,70.2
K.J. Choi ,285.6,65.9,0.2,60.9,70
Lucas Glover ,294.6,65.9,0.2,53.7,70.4
Spencer Levin ,286.3,68,0,60.4,69.9
Steve Flesch ,282.5,59.9,0.3,57,71.1
Geoff Ogilvy ,290,62.6,0.5,59.7,70.2
Fredrik Jacobson ,287.4,63.6,0.7,60.6,69.9
Sean O'Hair ,294.6,63.2,-0.2,54.7,70.8
Harrison Frazar ,301.8,62.5,-0.4,54.1,70.9
Sergio Garcia ,299.2,66.9,-0.2,60.2,69.6
Luke Donald ,284.1,67.3,0.8,63.7,68.9
Charl Schwartzel ,297,66,0,59.8,69.6
Rickie Fowler ,299.5,64.5,0.4,55,70
