pitcherid,date,pitchno,pitchno^2,pitchno^3,pitchno,pitch_bucket,relspeed,Dependent Variable,Differential,spinrate,extension,horzbreak,inducedvertbreak,spinaxis,relheight,relside,platelocheight,platelocside
1000098287,4/22/2025,2,4,8,205,FourSeamFastBall,87.9399,89.48258545,-0.94134125,2282.00388,6.04994,18.66387,8.67347,248.38426,5.19943,1.45676,2.17919,-0.50897
826147,4/22/2025,2,4,8,240,FourSeamFastBall,90.4103,89.48258545,1.538377262,2308.80866,6.95519,13.50335,17.26076,219.924403,4.75197,1.55338,3.47201,0.11322
826147,4/25/2025,2,4,8,188,FourSeamFastBall,89.80937,89.48258545,0.937447262,2149.067504,6.86513,18.84942,9.21182,246.755289,4.58234,1.4403,3.01223,0.02484
1000392568,4/29/2025,2,4,8,285,FourSeamFastBall,90.58807,89.48258545,2.44364451,2507.631034,5.80715,12.5856,17.66765,217.466494,5.6157,1.92721,1.3376,0.24987
1000392568,5/15/2025,2,4,8,344,FourSeamFastBall,89.94554,89.48258545,1.80111451,2566.802641,5.53493,9.54902,18.84383,208.480927,5.78844,2.09755,3.52003,1.24696
10128812,8/30/2024,3,9,27,1,FourSeamFastBall,81.36491,87.95693533,-2.591931667,1771.395254,6.16284,8.62906,12.53871,217.406763,5.35508,2.38512,2.53815,-0.36791
1000305276,9/13/2024,3,9,27,9,FourSeamFastBall,87.50064,87.95693533,1.469923254,1947.607262,6.10216,-11.99138,15.75788,140.213903,5.69082,-1.40546,3.10807,-1.25128
1000362328,9/13/2024,3,9,27,25,FourSeamFastBall,88.48454,87.95693533,0.228102909,2111.843242,6.79399,7.75524,13.61107,211.830876,5.49626,1.72333,1.89073,-0.77922
10005119,9/27/2024,3,9,27,22,FourSeamFastBall,90.57677,87.95693533,1.645273519,2142.513656,6.71781,-16.66934,12.42536,124.377573,5.69631,-1.43119,2.69261,-0.20202
1000309668,9/27/2024,3,9,27,112,FourSeamFastBall,90.93133,87.95693533,1.271333889,2279.568785,6.49736,13.47166,14.58237,224.838086,5.61831,1.87247,1.79136,-0.21389
10005119,10/4/2024,3,9,27,88,FourSeamFastBall,86.23544,87.95693533,-2.696056481,2067.871426,6.33947,-15.95371,13.47339,127.22566,5.80322,-1.45188,2.74742,-1.24379
1000125040,10/6/2024,3,9,27,25,FourSeamFastBall,87.45036,87.95693533,1.139168182,2161.252992,6.2297,-13.79969,12.79288,129.683684,5.20157,-3.90516,3.37554,1.87663
10303186,10/10/2024,3,9,27,23,FourSeamFastBall,82.05895,87.95693533,-6.101111509,1982.33512,6.19428,8.42229,12.79493,215.838601,6.33195,1.51307,2.70022,-0.74305
10005119,10/11/2024,3,9,27,78,FourSeamFastBall,88.27808,87.95693533,-0.653416481,2182.344376,6.63763,-19.24013,14.99367,125.319596,5.95314,-1.14096,2.77794,-0.46423
1000125040,10/13/2024,3,9,27,303,FourSeamFastBall,86.52644,87.95693533,0.215248182,1989.927418,6.2269,-11.89697,11.19217,129.46321,4.91683,-3.92626,4.10474,-0.32323
1000309668,10/20/2024,3,9,27,20,FourSeamFastBall,91.3889,87.95693533,1.728903889,2197.301943,6.89701,8.06382,13.32942,213.446725,5.73341,1.80953,3.22129,-0.56728
1000125040,10/25/2024,3,9,27,19,FourSeamFastBall,87.75436,87.95693533,1.443168182,2075.313499,6.25298,-18.24954,15.8104,128.509078,5.29516,-4.10392,3.11094,-1.42368
1000100911,10/25/2024,3,9,27,3,FourSeamFastBall,87.09198,87.95693533,-0.208448213,2156.113747,6.20825,13.90946,17.53422,220.542035,5.72163,1.94644,1.79939,-0.38494
1000145579,10/27/2024,3,9,27,229,FourSeamFastBall,83.54134,87.95693533,-1.158025357,1755.004605,6.59881,4.56685,18.18781,195.169437,5.82023,0.85439,2.81757,0.16638
1000213387,10/27/2024,3,9,27,311,FourSeamFastBall,87.82405,87.95693533,0.322018105,2430.027174,6.15387,8.39422,25.3732,199.276262,5.88995,1.52028,2.14066,-0.48225
10109416,11/1/2024,3,9,27,116,FourSeamFastBall,87.48248,87.95693533,0.527088903,2002.668997,5.78475,-15.47257,21.02387,141.78416,5.19402,-1.71038,2.00622,-0.05246
10005119,11/1/2024,3,9,27,207,FourSeamFastBall,89.77962,87.95693533,0.848123519,1911.333866,6.42912,-16.81832,12.82091,125.071882,5.80789,-1.13729,1.86141,-0.59032
10005119,1/27/2025,3,9,27,3,FourSeamFastBall,89.31023,87.95693533,0.378733519,2202.825417,6.91323,-21.08273,10.19091,113.08606,5.65694,-1.37892,2.77754,-0.52925
1000144733,2/26/2025,3,9,27,299,FourSeamFastBall,87.21179,87.95693533,-1.418837931,2089.253903,6.54805,17.61958,10.65615,241.618994,4.81315,1.48225,1.60439,-1.96854
826147,3/9/2025,3,9,27,115,FourSeamFastBall,88.54455,87.95693533,-0.327372738,2224.425927,6.78389,8.46567,12.88938,215.657196,4.68186,1.96372,3.71063,2.90998
1000100911,3/14/2025,3,9,27,242,FourSeamFastBall,87.18829,87.95693533,-0.112138213,2164.267059,6.43072,9.4926,21.17308,205.589283,5.58095,1.52631,1.58605,-0.51579
1000136915,3/23/2025,3,9,27,169,FourSeamFastBall,84.70533,87.95693533,1.029921474,2194.048712,5.06999,-22.21289,14.43796,120.020023,5.57821,-0.99517,1.73226,-0.15453
826147,4/15/2025,3,9,27,156,FourSeamFastBall,87.18249,87.95693533,-1.689432738,2177.851963,6.70613,12.08772,17.11273,17.11273,4.8146,1.5733,0,0
1000259684,4/15/2025,3,9,27,306,FourSeamFastBall,89.63755,87.95693533,1.44741691,2146.201908,6.33024,11.41461,18.95021,18.95021,5.861,1.5918,0,0
1000098287,4/22/2025,3,9,27,207,FourSeamFastBall,90.21209,87.95693533,1.33084875,2356.709036,5.80127,21.36399,8.305,251.740989,5.12752,1.55943,2.61496,0.39728
826147,4/22/2025,3,9,27,239,FourSeamFastBall,89.23812,87.95693533,0.366197262,2162.831658,6.94118,13.3239,14.98347,223.884358,4.67594,1.44438,3.45433,0.42722
1000362328,4/23/2025,3,9,27,49,FourSeamFastBall,91.30574,87.95693533,3.049302909,2079.637342,6.82695,5.71544,15.64497,201.424237,5.84656,1.08443,1.41998,-1.34582
826147,4/25/2025,3,9,27,127,FourSeamFastBall,89.98313,87.95693533,1.111207262,2154.264936,6.87522,12.43386,18.23438,216.184495,4.71727,1.45911,3.16927,-0.57869
1000392568,4/29/2025,3,9,27,281,FourSeamFastBall,89.70057,87.95693533,1.55614451,2587.736506,5.87056,12.99162,18.15851,217.427767,5.62104,1.85534,2.31561,-1.22642
1000392568,5/15/2025,3,9,27,345,FourSeamFastBall,90.21799,87.95693533,2.07356451,2651.772779,5.82887,10.84343,21.05481,208.703525,5.59805,2.17552,1.60331,1.50357
1000362327,8/30/2024,4,16,64,34,FourSeamFastBall,82.34649,87.72495378,-0.0133085,1796.831805,5.79174,-15.64013,2.33067,94.225489,4.00127,-2.71176,0.48126,0.96019
10128812,8/30/2024,4,16,64,118,FourSeamFastBall,82.67006,87.72495378,-1.286781667,1781.901983,6.49229,7.87874,14.21245,211.370117,5.61306,2.08656,2.51988,-2.25154
10005119,8/30/2024,4,16,64,137,FourSeamFastBall,89.87386,87.72495378,0.942363519,2261.079021,6.52282,-17.02493,13.59198,126.184737,5.64102,-1.20261,2.52344,-0.31658
1000309668,9/3/2024,4,16,64,31,FourSeamFastBall,89.84662,87.72495378,0.186623889,2015.120914,6.2565,10.67532,14.71812,218.453245,5.61989,1.67383,2.15167,-0.34218
823910,9/3/2024,4,16,64,81,FourSeamFastBall,87.96697,87.72495378,0.164420776,2319.532802,5.3168,-16.98824,18.07769,134.494595,5.74399,-1.71488,1.95874,-0.00617
1000362327,9/6/2024,4,16,64,89,FourSeamFastBall,80.65519,87.72495378,-1.7046085,1920.770689,5.66943,-10.55166,9.48556,127.893388,3.87659,-2.96633,2.47373,-0.84926
1000305276,9/13/2024,4,16,64,4,FourSeamFastBall,86.6585,87.72495378,0.627783254,1877.480537,6.09796,-14.6367,12.6128,127.403556,5.73344,-1.47313,2.77237,-0.57319
1000362328,9/13/2024,4,16,64,20,FourSeamFastBall,90.48067,87.72495378,2.224232909,1935.994886,6.46785,9.1267,14.6828,214.048645,5.71892,2.00691,2.81167,1.82849
1000309668,9/27/2024,4,16,64,120,FourSeamFastBall,91.70313,87.72495378,2.043133889,2239.299205,6.72422,9.39674,15.75461,212.340768,5.69867,1.8618,2.84094,-0.15107
10005119,9/27/2024,4,16,64,29,FourSeamFastBall,88.84437,87.72495378,-0.087126481,2011.505738,6.68664,-15.49993,12.61587,126.708843,5.81848,-1.27763,2.92756,-0.92823
10005119,10/4/2024,4,16,64,93,FourSeamFastBall,87.32336,87.72495378,-1.608136481,2075.440561,6.33494,-18.65477,12.01623,119.997605,5.83887,-1.29432,2.0881,-1.08049
10005119,10/11/2024,4,16,64,31,FourSeamFastBall,87.93732,87.72495378,-0.994176481,2207.407901,6.63943,-21.4834,13.06898,118.540546,5.99284,-1.14633,2.98554,-0.536
1000136915,10/19/2024,4,16,64,22,FourSeamFastBall,84.83605,87.72495378,1.160641474,2218.895081,5.3071,-16.84103,14.25532,127.12378,5.73579,-1.01897,3.55087,-1.01144
1000309668,10/20/2024,4,16,64,10,FourSeamFastBall,92.15322,87.72495378,2.493223889,2278.822601,6.94871,9.17469,14.05194,214.91791,5.70595,1.4905,2.46971,0.05339
